user_id,min,Q1,Q2,Q3,max,p1,p2,p3,p4,p5
55485.0,191.5,191.5,191.5,191.5,191.5,0.0,0.0,0.0,1.0,0.0
55487.0,95.0,127.7,127.7,149.5,182.2,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0
55490.0,226.89999999999998,240.1,244.5,248.9,262.1,0.5,0.0,0.0,0.5,0.0
55495.0,171.3,171.3,171.3,171.3,171.3,0.0,0.0,0.0,1.0,0.0
55498.0,148.5,148.5,148.5,148.5,148.5,0.0,0.0,0.0,1.0,0.0
55507.0,132.67500000000004,167.4,179.25,190.54999999999998,225.27499999999995,0.25,0.25,0.25,0.25,0.0
55510.0,83.39999999999999,163.875,179.25,217.525,298.0,0.25,0.25,0.25,0.25,0.0
55517.0,50.35000000000005,130.07500000000002,154.0,183.225,262.94999999999993,0.3,0.2,0.2,0.3,0.0
55519.0,155.7,155.7,155.7,155.7,155.7,0.0,0.0,0.0,1.0,0.0
55528.0,143.67500000000004,204.35000000000002,222.3,244.8,305.475,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
55534.0,130.0,130.0,130.0,130.0,130.0,0.0,0.0,0.0,1.0,0.0
55539.0,187.2,187.2,187.2,187.2,187.2,0.0,0.0,0.0,1.0,0.0
55540.0,141.25000000000003,191.05,202.85,224.25,274.04999999999995,0.25,0.25,0.25,0.16666666666666666,0.08333333333333333
55549.0,82.76249999999997,148.5,168.95,192.32500000000002,258.06250000000006,0.0,0.5,0.16666666666666666,0.3333333333333333,0.0
55557.0,135.89999999999998,165.6,175.5,185.4,215.10000000000002,0.5,0.0,0.0,0.5,0.0
55573.0,202.77499999999998,219.5,228.3,230.65,247.375,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.0
55581.0,112.34999999999998,131.7,134.1,144.6,163.95,0.0,0.4,0.2,0.4,0.0
55588.0,110.0,110.0,110.0,110.0,110.0,0.0,0.0,0.0,1.0,0.0
55592.0,189.6,189.6,189.6,189.6,189.6,0.0,0.0,0.0,1.0,0.0
55618.0,227.125,230.65,233.0,233.0,236.52499999999998,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0
